Phone,Das Telefon,Die Telefone
Look,Der Blick,Die Blicke
Leg,Das Bein,Die Beine
Chair,Der Stuhl,Die Stühle
Office,Das Büro,Die Büros
Brother,Der Bruder,Die Brüder
Question,Die Frage,Die Fragen
City,Die Stadt,Die Städte
Month,Der Monat,Die Monate
Baby,Das Baby,Die Babys
Home,Das Zuhause,Die Zuhause
Dog,Der Hund,Die Hunde
Road,Die Straße,Die Straßen
Idea,Die Idee,Die Ideen
Kitchen,Die Küche,Die Küchen
Lot,Das Grundstück,Die Grundstücke
Son,Der Sohn,Die Söhne
Job,Der Job,Die Jobs
Paper,Das Papier,Die Papiere
Sister,Die Schwester,Die Schwestern
Smile,Das Lächeln,Die Lächeln
Point,Der Punkt,Die Punkte
Thought,Der Gedanke,Die Gedanken
Love,Die Liebe,-
Town,Die Stadt,Die Städte
Death,Der Tod,Die Tode
Ground,Der Boden,Die Böden
Others,Die Anderen,-
Fire,Das Feuer,Die Feuer
Step,Der Schritt,Die Schritte
Blood,Das Blut,-
Fact,Die Tatsache,Die Tatsachen
Breath,Der Atem,Die Atemzüge
Lip,Die Lippe,Die Lippen
Sun,Die Sonne,Die Sonnen
Building,Das Gebäude,Die Gebäude
Number,Die Nummer,Die Nummern
Husband,Der Ehemann,Die Ehemänner
Parent,Der Elternteil,Die Elternteile
Corner,Die Ecke,Die Ecken
Problem,Das Problem,Die Probleme
Couple,Das Paar,Die Paare
Daughter,Die Tochter,Die Töchter
Bag,Die Tasche,Die Taschen
Hell,Die Hölle,-
Rest,Die Ruhe,-
Business,Das Geschäft,Die Geschäfte
Sky,Der Himmel,Die Himmel
Box,Die Schachtel,Die Schachteln
Person,Die Person,Die Personen
Reason,Der Grund,Die Gründe
Right,Das Recht,-
Skin,Die Haut,Die Häute
Dad,Der Vater,Die Väter
Case,Der Fall,Die Fälle
Piece,Das Stück,Die Stücke
Doctor,Der Arzt,Die Ärzte
Edge,Der Rand,Die Ränder
Mom,Die Mutter,Die Mütter
Picture,Das Bild,Die Bilder
Sense,Der Sinn,Die Sinne
Ear,Das Ohr,Die Ohren
Second,Die Sekunde,Die Sekunden
Lady,Die Dame,Die Damen
Neck,Der Hals,Die Hälse
Wind,Der Wind,Die Winde
Desk,Der Schreibtisch,Die Schreibtische
Gun,Die Waffe,Die Waffen
Stone,Der Stein,Die Steine
Coffee,Der Kaffee,Die Kaffees
Ship,Das Schiff,Die Schiffe
Earth,Die Erde,-
Food,Das Essen,-
Horse,Das Pferd,Die Pferde
Field,Das Feld,Die Felder
War,Der Krieg,Die Kriege
Afternoon,Der Nachmittag,Die Nachmittage
Sir,Der Herr,Die Herren
Space,Der Raum,Die Räume
Evening,Der Abend,Die Abende
Letter,Der Brief,Die Briefe
Bar,Die Bar,Die Bars
Dream,Der Traum,Die Träume
Apartment,Die Wohnung,Die Wohnungen
Chest,Die Brust,Die Brüste
Game,Das Spiel,Die Spiele
Summer,Der Sommer,Die Sommer
Matter,Die Angelegenheit,Die Angelegenheiten
Silence,Die Stille,-
Top,Die Spitze,Die Spitzen
Rock,Der Felsen,Die Felsen
Power,Die Macht,-
Clothes,Die Kleidung,-
Sign,Das Schild,Die Schilder
Attention,Die Aufmerksamkeit,-
Music,Die Musik,-
State,Der Zustand,Die Zustände
Pocket,Die Tasche,Die Taschen
Dinner,Das Abendessen,Die Abendessen
Hall,Der Saal,Die Säle
Pain,Der Schmerz,Die Schmerzen
Age,Das Alter,-
River,Der Fluss,Die Flüsse
Chance,Die Chance,Die Chancen
Nose,Die Nase,Die Nasen
Shadow,Der Schatten,Die Schatten
Police,Die Polizei,-
Memory,Die Erinnerung,Die Erinnerungen
Color,Die Farbe,Die Farben
Knee,Das Knie,Die Knie
Wood,Das Holz,-
Shirt,Das Hemd,Die Hemden
Party,Die Party,Die Partys
Country,Das Land,Die Länder
Truck,Der Lastwagen,Die Lastwagen
Tooth,Der Zahn,Die Zähne
Bill,Die Rechnung,Die Rechnungen
Scene,Die Szene,Die Szenen
Land,Das Land,Die Länder
Star,Der Stern,Die Sterne
Bird,Der Vogel,Die Vögel
Bedroom,Das Schlafzimmer,Die Schlafzimmer
Uncle,Der Onkel,Die Onkel
Sort,Die Art,-
Group,Die Gruppe,Die Gruppen
Truth,Die Wahrheit,Die Wahrheiten
Trouble,Die Schwierigkeit,-
Crowd,Die Menschenmenge,Die Menschenmengen
Station,Der Bahnhof,Die Bahnhöfe
Tear,Die Träne,Die Tränen
Class,Die Klasse,Die Klassen
Sea,Das Meer,Die Meere
Animal,Das Tier,Die Tiere
Center,Das Zentrum,Die Zentren
Feeling,Das Gefühl,Die Gefühle
Store,Das Geschäft,Die Geschäfte
Mountain,Der Berg,Die Berge
News,Die Nachrichten,-
Shoe,Der Schuh,Die Schuhe
Cat,Die Katze,Die Katzen
Screen,Der Bildschirm,Die Bildschirme
Bottle,Die Flasche,Die Flaschen
Call,Der Anruf,Die Anrufe
Living,Das Wohnzimmer,Die Wohnzimmer
Cheek,Die Wange,Die Wangen
Student,Der Student,Die Studenten
Ball,Der Ball,Die Bälle
Sight,Der Anblick,Die Anblicke
Hill,Der Hügel,Die Hügel
Company,Das Unternehmen,Die Unternehmen
Church,Die Kirche,Die Kirchen
Rain,Der Regen,Die Regen
Suit,Der Anzug,Die Anzüge
One,Die Eins,-
Direction,Die Richtung,Die Richtungen
Will,Der Wille,-
Throat,Der Hals,Die Hälse
Middle,Die Mitte,-
Answer,Die Antwort,Die Antworten
Stuff,Das Zeug,-
Hospital,Das Krankenhaus,Die Krankenhäuser
Camera,Die Kamera,Die Kameras
Dress,Das Kleid,Die Kleider
Card,Die Karte,Die Karten
Yard,Der Hof,Die Höfe
Dark,Die Dunkelheit,-
Shit,Die Scheiße,-
Image,Das Bild,Die Bilder
Machine,Die Maschine,Die Maschinen
Distance,Die Entfernung,Die Entfernungen
Area,Das Gebiet,Die Gebiete
Narrator,Der Erzähler,Die Erzähler
Ice,Das Eis,Die Eis
Snow,Der Schnee,-
Note,Die Notiz,Die Notizen
Mirror,Der Spiegel,Die Spiegel
King,Der König,Die Könige
Fear,Die Angst,-
Officer,Der Beamte,Die Beamten
Hole,Das Loch,Die Löcher
Shot,Der Schuss,Die Schüsse
Guard,Der Wächter,Die Wächter
Conversation,Das Gespräch,Die Gespräche
Boat,Das Boot,Die Boote
System,Das System,Die Systeme
Care,Die Sorge,Die Sorgen
Bit,Das Bit,Die Bits
Movie,Der Film,Die Filme
Bone,Der Knochen,Die Knochen
Page,Die Seite,Die Seiten
Captain,Der Kapitän,Die Kapitäne
Aunt,Die Tante,Die Tanten
Darkness,Die Dunkelheit,-
Control,Die Kontrolle,Die Kontrollen
Drink,Das Getränk,Die Getränke
Hotel,Das Hotel,Die Hotels
Coat,Der Mantel,Die Mäntel
Stair,Die Treppe,Die Treppen
Order,Die Bestellung,Die Bestellungen
Rose,Die Rose,Die Rosen
Miss,Die Miss,-
Hat,Der Hut,Die Hüte
Gold,Das Gold,-
Cigarette,Die Zigarette,Die Zigaretten
Cloud,Die Wolke,Die Wolken
View,Die Aussicht,Die Aussichten
Driver,Der Fahrer,Die Fahrer
Cup,Die Tasse,Die Tassen
Figure,Die Figur,Die Figuren
Expression,Der Ausdruck,Die Ausdrücke
Path,Der Weg,Die Wege
Key,Der Schlüssel,Die Schlüssel
Computer,Der Computer,Die Computer
Flower,Die Blume,Die Blumen
Ring,Der Ring,Die Ringe
Bathroom,Das Badezimmer,Die Badezimmer
Metal,Das Metall,Die Metalle
Moon,Der Mond,Die Monde
Song,Das Lied,Die Lieder
Soldier,Der Soldat,Die Soldaten
Radio,Das Radio,Die Radios
History,Die Geschichte,Die Geschichten
Wave,Die Welle,Die Wellen
Plan,Der Plan,Die Pläne
College,Das College,Die Colleges
Fish,Der Fisch,Die Fische
Garden,Der Garten,Die Gärten
Train,Der Zug,Die Züge
Shop,Das Geschäft,Die Geschäfte
Cop,Der Polizist,Die Polizisten
Art,Die Kunst,-
Beer,Das Bier,Die Biere
North,Der Norden,-
Island,Die Insel,Die Inseln
Bus,Der Bus,Die Busse
Smell,Der Geruch,Die Gerüche
Noise,Das Geräusch,Die Geräusche
Mama,Mama,-
Park,Der Park,Die Parks
South,Der Süden,-
Pair,Das Paar,Die Paare
Lord,Der Herr,Die Herren
Plate,Der Teller,Die Teller
Jacket,Die Jacke,Die Jacken
Help,Die Hilfe,Die Hilfen
Daddy,Der Papa,Die Papas
Grass,Das Gras,Die Gräser
Thanks,Der Dank,Die Danksagungen
Heat,Die Hitze,-
Sleep,Der Schlaf,-
Brain,Das Gehirn,Die Gehirne
Service,Der Service,Die Services
Trip,Die Reise,Die Reisen
Beat,Der Schlag,Die Schläge
Knife,Das Messer,Die Messer
Spot,Der Fleck,Die Flecken
Message,Die Nachricht,Die Nachrichten
Mark,Das Zeichen,Die Zeichen
Teacher,Der Lehrer,Die Lehrer
Gaze,Der Blick,Die Blicke
Village,Das Dorf,Die Dörfer
Winter,Der Winter,Die Winter
Front,Die Front,Die Fronten
Law,Das Gesetz,Die Gesetze
Surface,Die Oberfläche,Die Oberflächen
Bank,Die Bank,Die Banken
Team,Das Team,Die Teams
Maximum,Das Maximum,Die Maxima
Position,Die Position,Die Positionen
Stomach,Der Magen,Die Mägen
Turn,Die Wende,-
West,Der Westen,-
Lunch,Das Mittagessen,Die Mittagessen
Change,Die Veränderung,Die Veränderungen
Creature,Das Lebewesen,Die Lebewesen
Soul,Die Seele,Die Seelen
Leaf,Das Blatt,Die Blätter
Show,Die Show,Die Shows
Gate,Das Tor,Die Tore
Palm,Die Palme,Die Palmen
Plastic,Das Plastik,-
Force,Die Kraft,Die Kräfte
Beach,Der Strand,Die Strände
President,Der Präsident,Die Präsidenten
Shape,Die Form,Die Formen
Smoke,Der Rauch,Die Rauch
Wheel,Das Rad,Die Räder
Silver,Das Silber,-
Roof,Das Dach,Die Dächer
Weight,Das Gewicht,Die Gewichte
Tongue,Die Zunge,Die Zungen
Tea,Der Tee,Die Tees
Track,Die Strecke,Die Strecken
Angle,Der Winkel,Die Winkel
Form,Die Form,Die Formen
Tone,Der Ton,Die Töne
Circle,Der Kreis,Die Kreise
Spring,Der Frühling,Die Frühlinge
Porch,Die Veranda,Die Veranden
Sheet,Das Blatt,Die Blätter
Member,Das Mitglied,Die Mitglieder
Pool,Der Pool,Die Pools
Need,Das Bedürfnis,Die Bedürfnisse
Hope,Die Hoffnung,Die Hoffnungen
Lake,Der See,Die Seen
Breast,Die Brust,Die Brüste
Surprise,Die Überraschung,Die Überraschungen
Interest,Das Interesse,-
Bottom,Der Boden,Die Böden
Spirit,Der Geist,Die Geister
Block,Der Block,Die Blöcke
Language,Die Sprache,Die Sprachen
Bridge,Die Brücke,Die Brücken
Dust,Der Staub,-
Cell,Die Zelle,Die Zellen
Wine,Der Wein,Die Weine
Boot,Der Stiefel,Die Stiefel
Choice,Die Wahl,Die Wahlen
Row,Die Reihe,Die Reihen
Talk,Das Gespräch,Die Gespräche
Plane,Das Flugzeug,Die Flugzeuge
Watch,Die Uhr,Die Uhren
Information,Die Information,Die Informationen
Grandmother,Die Großmutter,-
Wing,Der Flügel,Die Flügel
Bob,Der Bob,Die Bobs
Club,Der Club,Die Clubs
Master,Der Meister,Die Meister
Grace,Die Gnade,Die Gnaden
Forest,Der Wald,Die Wälder
Size,Die Größe,Die Größen
Set,Der Satz,Die Sätze
Marriage,Die Ehe,Die Ehen
Forehead,Die Stirn,Die Stirnen
Storm,Der Sturm,Die Stürme
Doorway,Der Durchgang,Die Durchgänge
Situation,Die Situation,Die Situationen
Counter,Die Theke,Die Theken
Neighbor,Der Nachbar,Die Nachbarn
Photo,Das Foto,Die Fotos
Stage,Die Bühne,Die Bühnen
Meeting,Das Treffen,Die Treffen
Nurse,Die Krankenschwester,Die Krankenschwestern
Security,Die Sicherheit,Die Sicherheiten
Weapon,Die Waffe,Die Waffen
Event,Das Ereignis,Die Ereignisse
Ceiling,Die Decke,Die Decken
Engine,Der Motor,Die Motoren
Gift,Das Geschenk,Die Geschenke
Restaurant,Das Restaurant,Die Restaurants
Board,Das Brett,Die Bretter
Hallway,Der Flur,Die Flure
Army,Die Armee,-
Effort,Der Aufwand,Die Aufwände
East,Der Osten,-
Agent,Der Agent,Die Agenten
Future,Die Zukunft,Die Zukunft
Pant,Die Hose,Die Hosen
Leather,Das Leder,-
Flight,Der Flug,Die Flüge
Sex,Der Sex,-
Court,Das Gericht,Die Gerichte
Course,Der Kurs,Die Kurse
Dirt,Der Schmutz,-
Egg,Das Ei,Die Eier
Chin,Das Kinn,Die Kinne
Stranger,Der Fremde,Die Fremden
Pleasure,Das Vergnügen,Die Vergnügen
Detail,Das Detail,Die Details
Crew,Die Besatzung,Die Besatzungen
Fall,Der Herbst,Die Fälle
Guest,Der Gast,Die Gäste
Experience,Die Erfahrung,Die Erfahrungen
Joke,Der Witz,Die Witze
Sand,Der Sand,-
Fist,Die Faust,Die Fäuste
Action,Die Aktion,Die Aktionen
Walk,Der Spaziergang,Die Spaziergänge
Wedding,Die Hochzeit,Die Hochzeiten
Deal,Das Geschäft,Die Geschäfte
Nature,Die Natur,-
Planet,Der Planet,Die Planeten
Cousin,Der Cousin,Die Cousins
Movement,Die Bewegung,Die Bewegungen
Flesh,Das Fleisch,-
Record,Der Rekord,Die Rekorde
Camp,Das Lager,Die Lager
Newspaper,Die Zeitung,Die Zeitungen
Ray,Der Strahl,Die Strahlen
Human,Der Mensch,Die Menschen
Couch,Die Couch,Die Couches
Motion,Die Bewegung,Die Bewegungen
Grandfather,Der Großvater,Die Großväter
Photograph,Das Foto,Die Fotos
Secret,Das Geheimnis,Die Geheimnisse
Beauty,Die Schönheit,Die Schönheiten
Presence,Die Anwesenheit,-
Bell,Die Glocke,Die Glocken
Folk,Das Volk,-
Button,Der Knopf,Die Knöpfe
List,Die Liste,Die Listen
Level,Das Level,Die Level
Date,Das Datum,Die Daten
Subject,Das Fach,Die Fächer
Difference,Der Unterschied,Die Unterschiede
Pause,Die Pause,Die Pausen
Van,Der Lieferwagen,Die Lieferwagen
Blade,Die Klinge,Die Klingen
Television,Das Fernsehen,Die Fernseher
Cover,Die Abdeckung,Die Abdeckungen
Past,Die Vergangenheit,-
Farm,Die Farm,Die Farmen
Lap,Der Schoß,Die Schoß
Band,Die Band,Die Bands
Lawyer,Der Anwalt,Die Anwälte
Magazine,Das Magazin,Die Magazine
Branch,Der Ast,Die Äste
Frame,Der Rahmen,Die Rahmen
Deck,Das Deck,Die Decks
Effect,Die Wirkung,Die Wirkungen
Dance,Der Tanz,Die Tänze
Vision,Die Vision,Die Visionen
Ghost,Das Geist,Die Geister
Ass,Der Hintern,Die Hintern
Character,Der Charakter,Die Charaktere
Glance,Der Blick,Die Blicke
Goodbye,Der Abschied,-
Parking,Das Parken,-
Breakfast,Das Frühstück,Die Frühstücke
Gesture,Die Geste,Die Gesten
Luck,Das Glück,-
Blanket,Die Decke,Die Decken
Gas,Das Gas,-
Corridor,Der Korridor,Die Korridore
Professor,Der Professor,Die Professoren
Play,Das Stück,Die Stücke
Mistake,Der Fehler,Die Fehler
University,Die Universität,Die Universitäten
Ocean,Der Ozean,Die Ozeane
Century,Das Jahrhundert,Die Jahrhunderte
Honey,Der Honig,-
Pile,Der Stapel,Die Stapel
Bowl,Die Schüssel,Die Schüsseln
Base,Die Basis,Die Basen
Fence,Der Zaun,Die Zäune
Rule,Die Regel,Die Regeln
Laughter,Das Lachen,-
Anger,Der Ärger,-
Sweat,Der Schweiß,-
Accident,Der Unfall,Die Unfälle
Weather,Das Wetter,-
Decision,Die Entscheidung,Die Entscheidungen
Angel,Der Engel,Die Engel
Strength,Die Stärke,Die Stärken
Chicken,Das Huhn,Die Hühner
Study,Das Studium,Die Studien
Tape,Das Band,Die Bänder
Wrist,Das Handgelenk,Die Handgelenke
Stop,Der Halt,Die Halte
Hip,Die Hüfte,Die Hüften
Government,Die Regierung,Die Regierungen
Belly,Der Bauch,Die Bäuche
Queen,Die Königin,Die Königinnen
Report,Der Bericht,Die Berichte
Tail,Der Schwanz,Die Schwänze
Plant,Die Pflanze,Die Pflanzen
Flame,Die Flamme,Die Flammen
Heaven,Der Himmel,Die Himmel
Belt,Der Gürtel,Die Gürtel
Neighborhood,Die Nachbarschaft,Die Nachbarschaften
Energy,Die Energie,-
Green,Das Grün,-
Quarter,Das Viertel,Die Viertel
Enemy,Der Feind,Die Feinde
Move,Der Zug,Die Züge
Entrance,Der Eingang,Die Eingänge
Library,Die Bibliothek,Die Bibliotheken
Writer,Der Schriftsteller,Die Schriftsteller
Peace,Der Frieden,-
Touch,Die Berührung,Die Berührungen
Pot,Der Topf,Die Töpfe
Type,Die Art,-
Cause,Die Ursache,Die Ursachen
Rope,Das Seil,Die Seile
Muscle,Der Muskel,Die Muskeln
Painting,Das Gemälde,Die Gemälde
Curtain,Der Vorhang,Die Vorhänge
Meal,Die Mahlzeit,Die Mahlzeiten
Act,Der Akt,Die Akte
Wolf,Der Wolf,Die Wölfe
Cabin,Die Kabine,Die Kabinen
Charge,Die Gebühr,Die Gebühren
Clock,Die Uhr,Die Uhren
Passenger,Der Passagier,Die Passagiere
Buddy,Der Kumpel,Die Kumpel
Drug,Das Medikament,Die Medikamente
Use,Die Verwendung,Die Verwendungen
Bench,Die Bank,Die Bänke
Traffic,Der Verkehr,-
Relief,Die Erleichterung,-
Cap,Die Mütze,Die Mützen
Pack,Das Pack,Die Packs
Weekend,Das Wochenende,Die Wochenenden
Stand,Der Stand,Die Stände
Elevator,Der Aufzug,Die Aufzüge
Birthday,Der Geburtstag,Die Geburtstage
Lily,Die Lilie,Die Lilien
Iron,Das Eisen,Die Eisen
Meat,Das Fleisch,-
Eyebrow,Die Augenbraue,Die Augenbrauen
Response,Die Antwort,Die Antworten
Speed,Die Geschwindigkeit,Die Geschwindigkeiten
Purpose,Der Zweck,Die Zwecke
Skirt,Der Rock,Die Röcke
Square,Das Quadrat,Die Quadrate
Drive,Die Fahrt,Die Fahrten
Article,Der Artikel,Die Artikel
English,Das Englisch,-
Tower,Der Turm,Die Türme
Battle,Die Schlacht,Die Schlachten
Film,Der Film,Die Filme
Race,Das Rennen,Die Rennen
Shock,Der Schock,Die Schocks
Section,Die Sektion,Die Sektionen
Manner,Die Art,-
Sword,Das Schwert,Die Schwerter
Stick,Der Stock,Die Stöcke
File,Die Datei,Die Dateien
Bread,Das Brot,-
Oil,Das Öl,-
Chain,Die Kette,Die Ketten
Department,Die Abteilung,Die Abteilungen
Project,Das Projekt,Die Projekte
Murder,Der Mord,Die Morde
Bear,Der Bär,Die Bären
Test,Der Test,Die Tests
Visit,Der Besuch,Die Besuche
Milk,Die Milch,-
Boss,Der Chef,Die Chefs
Elbow,Der Ellenbogen,Die Ellenbogen
Desire,Das Verlangen,-
Patient,Der Patient,Die Patienten
Grin,Das Grinsen,-
Lover,Der Liebhaber,Die Liebhaber
Price,Der Preis,Die Preise
Map,Die Karte,Die Karten
Knowledge,Das Wissen,-
Beginning,Der Anfang,Die Anfänge
Cold,Die Kälte,-
Closet,Der Schrank,Die Schränke
Dawn,Die Morgendämmerung,Die Morgendämmerungen
Temple,Der Tempel,Die Tempel
Joy,Die Freude,-
Duty,Die Pflicht,Die Pflichten
Practice,Die Übung,Die Übungen
Heel,Der Absatz,Die Absätze
Valley,Das Tal,Die Täler
Fight,Der Kampf,Die Kämpfe
Wire,Das Kabel,Die Kabel
Jeans,Die Jeans,-
Kiss,Der Kuss,Die Küsse
Jaw,Der Kiefer,Die Kiefer
Run,Der Lauf,Die Läufe
Hold,Das Halten,Die Halten
Relationship,Die Beziehung,Die Beziehungen
Object,Das Objekt,Die Objekte
Attack,Der Angriff,Die Angriffe
Dish,Das Gericht,Die Gerichte
Highway,Die Autobahn,Die Autobahnen
Shade,Der Schatten,Die Schatten
Crime,Das Verbrechen,Die Verbrechen
White,Das Weiß,-
Partner,Der Partner,Die Partner
Priest,Der Priester,Die Priester
Lawn,Der Rasen,Die Rasen
Laugh,Das Lachen,-
Trunk,Der Stamm,Die Stämme
Cry,Das Weinen,Die Weinen
Program,Das Programm,Die Programme
Ride,Die Fahrt,Die Fahrten
Shelf,Das Regal,Die Regale
Gentleman,Der Herr,Die Herren
Being,Das Wesen,Die Wesen
Steel,Der Stahl,-
Sidewalk,Der Bürgersteig,Die Bürgersteige
Uniform,Die Uniform,Die Uniformen
Pattern,Das Muster,Die Muster
Evidence,Der Beweis,Die Beweise
Player,Der Spieler,Die Spieler
Novel,Der Roman,Die Romane
Pillow,Das Kissen,Die Kissen
Lamp,Die Lampe,Die Lampen
Drawer,Die Schublade,Die Schubladen
Danger,Die Gefahr,Die Gefahren
Detective,Der Detektiv,Die Detektive
Instant,Der Augenblick,Die Augenblicke
Thinking,Das Denken,-
Crack,Der Riss,Die Risse
Prayer,Das Gebet,Die Gebete
Towel,Das Handtuch,Die Handtücher
Glove,Der Handschuh,Die Handschuhe
Bay,Die Bucht,Die Buchten
Audience,Das Publikum,-
Can,Die Dose,Die Dosen
Condition,Der Zustand,Die Zustände
Trail,Der Pfad,Die Pfade
Waist,Die Taille,Die Taillen
Pressure,Der Druck,Die Drücke
Telephone,Das Telefon,Die Telefone
Sink,Das Waschbecken,Die Waschbecken
Return,Die Rückkehr,Die Rückkehr
Breeze,Die Brise,Die Brisen
Taste,Der Geschmack,Die Geschmäcker
Fault,Der Fehler,Die Fehler
Stream,Der Strom,Die Ströme
Result,Das Ergebnis,Die Ergebnisse
Author,Der Autor,Die Autoren
Tip,Der Tipp,Die Tipps
Shower,Die Dusche,Die Duschen
Toe,Die Zehe,Die Zehen
Season,Die Jahreszeit,Die Jahreszeiten
Half,Die Hälfte,Die Hälften
Fool,Der Narr,Die Narren
Tunnel,Der Tunnel,Die Tunnel
Client,Der Kunde,Die Kunden
Garage,Die Garage,Die Garagen
Mission,Die Mission,Die Missionen
Chief,Der Chef,Die Chefs
Bullet,Die Kugel,Die Kugeln
Market,Der Markt,Die Märkte
Loss,Der Verlust,Die Verluste
Series,Die Serie,Die Serien
Pen,Der Stift,Die Stifte
Term,Der Begriff,Die Begriffe
Poem,Das Gedicht,Die Gedichte
Prince,Der Prinz,Die Prinzen
Clay,Der Ton,Die Tone
Lock,Das Schloss,Die Schlösser
Reality,Die Realität,Die Realitäten
Snake,Die Schlange,Die Schlangen
Apple,Der Apfel,Die Äpfel
Mask,Die Maske,Die Masken
Customer,Der Kunde,Die Kunden
Birth,Die Geburt,Die Geburten
Break,Die Pause,Die Pausen
Wonder,Das Wunder,Die Wunder
Sunlight,Das Sonnenlicht,-
Tank,Der Panzer,Die Panzer
Staff,Das Personal,-
Lie,Die Lüge,Die Lügen
Faith,Der Glaube,-
Honor,Die Ehre,-
Cream,Die Sahne,-
Sake,Der Grund,-
Victim,Das Opfer,Die Opfer
Possibility,Die Möglichkeit,Die Möglichkeiten
Contact,Der Kontakt,Die Kontakte
Mood,Die Stimmung,Die Stimmungen
Thumb,Der Daumen,Die Daumen
Reading,Das Lesen,-
Fun,Der Spaß,-
Candle,Die Kerze,Die Kerzen
Cave,Die Höhle,Die Höhlen
Post,Die Post,-
Prison,Das Gefängnis,Die Gefängnisse
Emotion,Die Emotion,Die Emotionen
Leader,Der Führer,Die Führer
Degree,Der Abschluss,Die Abschlüsse
Feature,Das Merkmal,Die Merkmale
Ticket,Die Eintrittskarte,Die Eintrittskarten
Alien,Das Alien,Die Aliens
Lesson,Die Lektion,Die Lektionen
Desert,Die Wüste,Die Wüsten
Cut,Der Schnitt,Die Schnitte
Mess,Das Durcheinander,-
Warning,Die Warnung,Die Warnungen
Tale,Das Märchen,Die Märchen
Funeral,Die Beerdigung,Die Beerdigungen
Cab,Das Taxi,Die Taxis
Reporter,Der Reporter,Die Reporter
Present,Das Geschenk,Die Geschenke
Theater,Das Theater,Die Theater
Length,Die Länge,-
Mud,Der Schlamm,-
Science,Die Wissenschaft,-
Drop,Der Tropfen,Die Tropfen
String,Die Schnur,Die Schnüre
Speech,Die Rede,Die Reden
Copy,Das Exemplar,Die Exemplare
Cow,Die Kuh,Die Kühe
Worker,Der Arbeiter,Die Arbeiter
Thigh,Der Oberschenkel,Die Oberschenkel
Lab,Das Labor,Die Labore
Roll,Die Rolle,Die Rollen
Fruit,Die Frucht,Die Früchte
Patch,Das Patch,Die Patches
Silk,Die Seide,-
Buck,Der Dollar,Die Dollars
Brick,Der Ziegel,Die Ziegel
Rifle,Das Gewehr,Die Gewehre
Career,Die Karriere,Die Karrieren
Issue,Die Ausgabe,Die Ausgaben
Opportunity,Die Gelegenheit,Die Gelegenheiten
Director,Der Regisseur,Die Regisseure
Monster,Das Monster,Die Monster
Vehicle,Das Fahrzeug,Die Fahrzeuge
Alley,Die Gasse,Die Gassen
Sleeve,Der Ärmel,Die Ärmel
Grave,Das Grab,Die Gräber
Bush,Der Busch,Die Büsche
Dining,Das Esszimmer,-
Opening,Die Öffnung,Die Öffnungen
Twin,Das Zwilling,Die Zwillinge
Barn,Die Scheune,Die Scheunen
Pound,Das Pfund,Die Pfunde
Site,Die Seite,Die Seiten
Flash,Der Blitz,Die Blitze
Judge,Der Richter,Die Richter
Mass,Die Masse,Die Massen
Process,Der Prozess,Die Prozesse
Tie,Die Krawatte,Die Krawatten
Purse,Die Geldbörse,Die Geldbörsen
Pipe,Die Pfeife,Die Pfeifen
Dragon,Der Drache,Die Drachen
Horizon,Der Horizont,Die Horizonte
Tray,Das Tablett,Die Tabletts
